Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-10-29,2014,10,29,Wednesday,36.15,36.46,35.99,36.09,1069500,36.09,-0.004139114760804086,36.523571428571444,37.59299999999998
2014-10-30,2014,10,30,Thursday,36.0,36.39,35.43,35.82,974900,35.82,-0.007481309410421577,36.55714285714287,37.46039999999998
2014-10-31,2014,10,31,Friday,36.0,36.49,35.21,36.36,1174600,36.36,0.01507540257197082,36.63000000000001,37.318599999999975
2014-11-03,2014,11,3,Monday,36.18,36.5,36.01,36.42,2085100,36.42,0.0016500978434161873,36.61642857142858,37.19179999999998
2014-11-04,2014,11,4,Tuesday,36.27,37.3,36.25,36.35,4339800,36.35,-0.0019220125849404024,36.57142857142858,37.135599999999975
2014-11-05,2014,11,5,Wednesday,36.59,36.83,33.98,34.21,1809300,34.21,-0.058872062709218076,36.3707142857143,37.050199999999975
2014-11-06,2014,11,6,Thursday,34.28,34.93,33.81,33.98,1170700,33.98,-0.006723167155555987,36.1507142857143,36.95059999999998
2014-11-07,2014,11,7,Friday,33.63,33.9,31.8,33.25,3063500,33.25,-0.02148321224457217,35.89285714285715,36.84199999999998
2014-11-10,2014,11,10,Monday,33.24,33.81,32.97,33.52,1037800,33.52,0.008120314519208138,35.64785714285715,36.74359999999997
2014-11-11,2014,11,11,Tuesday,33.87,34.3,33.21,34.13,1504100,34.13,0.018198108652181633,35.430714285714295,36.63979999999998
2014-11-12,2014,11,12,Wednesday,33.97,34.73,33.86,34.51,936200,34.51,0.01113381897233423,35.23928571428573,36.513199999999976
2014-11-13,2014,11,13,Thursday,34.62,35.11,34.08,34.37,895600,34.37,-0.004056777642932552,35.12285714285715,36.407599999999974
2014-11-14,2014,11,14,Friday,34.28,34.97,33.4,33.86,637200,33.86,-0.014838473592737933,34.93642857142858,36.28979999999997
2014-11-17,2014,11,17,Monday,33.69,34.19,33.05,34.06,751000,34.06,0.005906696967935332,34.78071428571429,36.17699999999997
2014-11-18,2014,11,18,Tuesday,34.07,34.61,33.87,34.3,1166700,34.3,0.007046325722045665,34.652857142857144,36.07779999999997
2014-11-19,2014,11,19,Wednesday,34.35,35.09,34.03,34.78,700000,34.78,0.013994156061604146,34.57857142857143,35.99579999999997
2014-11-20,2014,11,20,Thursday,34.42,34.62,33.76,34.55,2217700,34.55,-0.006612983045106824,34.449285714285715,35.932399999999966
2014-11-21,2014,11,21,Friday,34.82,35.03,34.39,34.9,2858100,34.9,0.010130312490511661,34.34071428571428,35.841399999999965
2014-11-24,2014,11,24,Monday,34.99,35.54,34.89,35.5,1250800,35.5,0.017191932604248894,34.279999999999994,35.75999999999997
2014-11-25,2014,11,25,Tuesday,35.83,36.33,35.51,36.0,2103300,36.0,0.014084507042253502,34.40785714285714,35.68959999999997
